PubMed ID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
39036442,"Regulatory systems and requirements for clinical trials of AAV-based gene therapies - Perspectives from six Asian countries or regions: Report from the 6th Asia Partnership Conference of Regenerative Medicine - April 20, 2023.",2024-01-01,Mizoguchi H; Zhang AJ; Komuro M; Cheun WK; Chiu CW,"Astellas Pharma Inc., Regulatory Affairs, 2-5-1, Nihonbashi-Honcho, Chuo-ku, Tokyo, 103-8411, Japan.; Help Therapeutics Co. Ltd., 568 Longmian Avenue, Jiangning District, Nanjing, PR China.; Novartis Asia Pacific Pharmaceuticals Pte Ltd., Regulatory & Development Policy, Regulatory Affairs, Singapore.; Sanofi K.K., Regulatory Affairs, Tokyo Opera City Tower, 3-20-2, Nishi Shinjuku, Shinjuku-ku, Tokyo, 163-1488, Japan.; TFBS Bioscience Inc., 3F., No.103, Ln. 169, Kangning St., Xizhi Dist., New Taipei City, Taiwan.",Not available
39036087,Human induced pluripotent stem cells-derived liver organoids grown on a Biomimesys(R) hyaluronic acid-based hydroscaffold as a new model for studying human lipoprotein metabolism.,2024-01-01,Caillaud A; Bray L; Patitucci M; Delpouve G; Le May C; Maubon N; Si-Tayeb K,"CRNH-Ouest Mass Spectrometry Core Facility Nantes France.; HCS Pharma Lille France.; Inserm, UMR 1188 Diabete Atherothrombose Therapies Reunion Ocean Indien (DeTROI) Universite de La Reunion Saint-Denis de La Reunion France.",Not available
39034992,Sodium levels and immunotherapy efficacy in mRCC patients with bone metastases: sub analysis of Meet-Uro 15 study.,2024-01-01,Pipitone S; Fratino L; Nole F,"SS Oncologia Medica Genitourinaria, Fondazione IRCCS Istituto Nazionale dei Tumori, Milano, Italy.; SSD Oncologia Medica, Azienda Sanitaria Locale (ASL) Sulcis, Cagliari, Italy.; UOC Oncologia, AULSS 6 Euganea, Ospedale di Camposampiero, Padova, Italy.",Not available
39034968,Avelumab in Combination With Lorlatinib or Crizotinib in Patients With Previously Treated Advanced NSCLC: Phase 1b/2 Results From the JAVELIN Lung 101 Trial.,2024-01-01,Carcereny E; Martini JF; Wang E; De Beukelaer S,"Institut Catala d'Oncologia de Badalona, Servicio de Oncologia Medica, Badalona, Spain.; Pfizer, San Diego, California.; Present address: IDEAYA Biosciences, South San Francisco, California.",Not available
39034668,Functional Neurological Disorders Among Patients With Tremor.,2024-07-22,Baizabal-Carvallo JF; Alonso-Juarez M; Jankovic J,"Department of Sciences and Engineering, University of Guanajuato, Campus Leon, Leon, Mexico (Baizabal-Carvallo); Instituto Politecnico Nacional, Mexico City, Mexico (Alonso-Juarez).; Parkinson's Disease Center and Movement Disorders Clinic, Department of Neurology, Baylor College of Medicine, Houston (Baizabal-Carvallo, Jankovic)",Not available
39034363,"Impact of trazodone once-a-day on quality of life and functional recovery in adults with major depressive disorder: A prospective, observational study.",2024-01-01,Margolis MK; Fallone R,"Evidera-PPD, Bethesda, Maryland, USA.",Not available
39034203,Consistency of Spleen and Symptom Reduction Regardless of Cytopenia in Patients With Myelofibrosis Treated With Pacritinib.,2024-01-01,Treskes P; Buckley S; Roman-Torres K,"IQVIA CSMS Germany GmbH, Mannheim, Germany.; Sobi Inc., Waltham, MA.","Department of Stem Cell Transplantation, University Medical Center Hamburg-Eppendorf, Hamburg, Germany. Electronic address: n.gagelmann@uke.de."
39033924,Effect of Brolucizumab and Aflibercept on the Maximum Thickness of Pigment Epithelial Detachments and Sub-Retinal Pigment Epithelium Fluid in HAWK and HARRIER.,2025-01-01,Kempf AS; Saffar I; Gedif K,"Novartis Pharma AG, Basel, Switzerland.","Reno School of Medicine, University of Nevada, Reno, Nevada. Electronic address: arshad.khanani@gmail.com."
39033770,"Pirtobrutinib, a highly selective, non-covalent (reversible) BTK inhibitor in patients with B-cell malignancies: analysis of the Richter transformation subgroup from the multicentre, open-label, phase 1/2 BRUIN study.",2024-01-01,Abada PB; Ho C; McNeely SC; Marella N; Nguyen B; Wang C; Ruppert AS; Nair B; Liu H; Tsai DE; Ghia P,"Eli Lilly, Indianapolis, IN, USA.; Loxo Oncology, Indianapolis, IN, USA.; Universita Vita-Salute San Raffaele and IRCCS Ospedale San Raffaele, Milan, Italy.","The University of Texas, MD Anderson Cancer Center, Houston, TX, USA. Electronic address: wwierda@mdanderson.org."
39033766,"Efficacy and safety of delgocitinib cream in adults with moderate to severe chronic hand eczema (DELTA 1 and DELTA 2): results from multicentre, randomised, controlled, double-blind, phase 3 trials.",2024-08-03,Baranowski K; Korn S; Kurvits M; Plohberger U; Strange Vest N,"LEO Pharma, Ballerup, Denmark.","Innovaderm Research, Montreal, QC, Canada. Electronic address: rbissonnette@innovaderm.com."
39033692,A brief report on stable disease among amivantamab-treated patients with post-platinum epidermal growth factor receptor exon 20 insertion-mutated non-small cell lung cancer: A response-based analysis from the CHRYSALIS study.,2024-01-01,Schioppa CA; Diels J; Rodrigues BH; Rahhali N; Sermon J; Ghilotti F,"Janssen Pharmaceutica NV, Turnhoutseweg 30, Beerse B-2340, Belgium.; Janssen-Cilag NV, Turnhoutseweg 30, Beerse B-2340, Belgium.; Janssen-Cilag SpA, Via Michelangelo Buonarroti, 23, Cologno Monzese 20093, Italy.; Janssen-Cilag, 1 rue Camille Desmoulins, Issy-les-Moulineaux 92130, France.; Janssen-Cilag, Lagoas Park, Edificio 9, Porto Salvo 2740-262, Portugal.","Institut Curie, Institut du Thorax Curie-Montsouris, 42 Bd Jourdan, Paris 75014, France. Electronic address: nicolas.girard2@curie.fr."
39033284,Deploying a metabolic dysfunction-associated steatohepatitis consensus care pathway: findings from an educational pilot in three health systems.,2024-07-20,Kumar S; Schwartz RE; Cohn K,"NASHNET, 29 Broadway, Floor 26, New York, NY, 10003, USA.; Weill Cornell Medicine, 1305 York Avenue, 4 Floor, New York, NY, 10021, USA.",Not available
39033013,Impact of residual retinal fluid on treatment outcomes in neovascular age-related macular degeneration.,2024-08-01,Viola F,"Macula, Vitreous and Retina Associates of Costa Rica, San Jose, Costa Rica.","Faculty of Medical and Health Sciences, Ophthalmology Division, Tel Aviv University, Tel Aviv Sourasky Medical Center, Tel Aviv, Israel dinahzur@gmail.com dinagz@tlvmc.gov.il."
39032943,Biomarker development for PD-(L)1 axis inhibition: a consensus view from the SITC Biomarkers Committee.,2024-07-20,Warren S; Barrett JC; Garnett-Benson C; Topp B,"Bristol Myers Squibb, Princeton, New Jersey, USA.; Gilead Sciences, Seattle, Washington, USA.; Merck and Co, Rahway, New Jersey, USA.; Precede Biosciences, Boston, Massachusetts, USA.",Not available
39032397,Patterns of initial ovarian cancer recurrence on niraparib maintenance monotherapy in patients with no baseline evidence of disease after first-line chemotherapy: An ad hoc subgroup analysis of PRIMA/ENGOT-OV26/GOG-3012.,2024-01-01,York W; Malinowska IA,"GSK, Philadelphia, PA, USA.","Cedars-Sinai Medical Center, Los Angeles, CA, USA. Electronic address: mitchell.kamrava@cshs.org."
39031963,Health-related quality of life in patients with metastatic basal cell carcinoma treated with cemiplimab: Analysis of a phase 2 trial.,2024-01-01,Inocencio TJ; Lewis KD; Ivanescu C; Fury MG; Chen CI; Quek RGW,"IQVIA, Durham, North Carolina, USA.; Regeneron Pharmaceuticals, Inc., Tarrytown, New York, USA.",Not available
39031889,Best of both worlds: An expansion of the state of the art pK(a) model with data from three industrial partners.,2024-01-01,Fraczkiewicz R; Quoc Nguyen H; Wu N,"Genentech Inc., Discovery Chemistry, 1 DNA Way, South San Francisco, CA 94080, USA.; Simulations Plus, Inc., 42505 10th Street West, Lancaster, CA 93534, USA.",Not available
39031849,Physiologically-based pharmacokinetic modeling predicts the drug interaction potential of GLS4 in co-administered with ritonavir.,2024-01-01,Peng Y; Liu X; Zhang Y; Zhao X; Liu Z,"Sunshine Lake Pharma Co., Ltd, Dongguan, China.",Not available
39030997,Phase 1 dose escalation study of the MDM2 inhibitor milademetan as monotherapy and in combination with azacitidine in patients with myeloid malignancies.,2024-01-01,Kumar P; Sumi H; Hizukuri Y; Hong Y; Patel P; Seki T; Duan T; Lesegretain A,"Daiichi Sankyo Co., Tokyo, Japan.; Daiichi Sankyo Inc., Basking Ridge, New Jersey, USA.",Not available
39030931,Development of a Medication-Use Evaluation Template for Andexanet Alfa in the Reversal of Anticoagulation With Factor Xa Inhibitors.,2025-01-01,Fera T; Moore MR; Turck CJ; Fanikos J,"Mass General Brigham, Boston, MA, USA. RINGGOLD: 1813; Project Consultant, Greater Pittsburgh Area, PA, USA.; Scientia Perpetuam, LLC, Greater Chicago Area, IL, USA.; ScientiaCME, Inc., Los Angeles, CA, USA.",Not available
39030751,Statistical considerations when estimating time-saving treatment effects in Alzheimer's disease clinical trials.,2024-01-01,Mangal B; Liao Y; Llibre-Guerra JJ; Bateman RJ,"F. Hoffmann-La Roche Ltd., Basel, Switzerland.; Neogene Therapeutics, Inc., Santa Monica, California, USA.; Solara Consulting Corp., North Vancouver, British Columbia, Canada.; Tenaya Therapeutics, South San Francisco, California, USA.",Not available
39030735,Comprehensive scoping review of fenfluramine's role in managing generalized tonic-clonic seizures in developmental and epileptic encephalopathies.,2024-01-01,Polega S; Lothe A,"UCB, Colombes, France.; UCB, Smyrna, Georgia, USA.",Not available
39029295,Sotorasib (960 mg or 240 mg) once daily in patients with previously treated KRAS G12C-mutated advanced NSCLC.,2024-01-01,Girard N; Snyder W; Tran Q; Kormany W; Houk B; Mehta B,"Amgen Inc., Thousand Oaks, CA, USA.; Institut du Thorax Curie Montsouris, Institut Curie, Paris, France; UVSQ, Paris Saclay, Versailles, France.","Department of Respiratory and Critical Care Medicine, Karl Landsteiner Institute of Lung Research and Pulmonary Oncology, Klinik Floridsdorf, Vienna, Austria. Electronic address: maximilian.hochmair@gesundheitsverbund.at."
39029076,Multimodal imaging analysis of autosomal recessive bestrophinopathy: Case series.,2024-07-19,Hayashi T; Kameya S,"Topcon Corporation, Itabashi, Tokyo, Japan.",Not available
39028876,Abatacept for acute graft-versus-host disease prophylaxis after unrelated donor hematopoietic cell transplantation.,2024-10-24,Lozenski K; Langston A; Horan JT; Watkins B; Gomez-Caminero A; Pasquini MC,"Bristol Myers Squibb, Princeton, NJ.; Cytel Inc, Waltham, MA.",Not available
39028412,A Randomised Controlled Trial of SFX-01 After Subarachnoid Haemorrhage - The SAS Study.,2024-07-19,Howat D; Franklin S,"Evgen Pharma, Nether Alderley, UK.",Not available
39028259,DR-70 (fibrinogen-fibrin degradation products) as a prognostic biomarker in dogs with neoplasms.,2024-01-01,Wu CH,"Uni-Pharma Co-Ltd, Taipei, Taiwan.",Not available
39028130,Adverse Effects of Nicotine on Human Sperm Nuclear Proteins.,2024-07-11,Tofighi Niaki M,"LogixX Pharma Ltd., Theale, Berkshire, UK.",Not available
39026628,Effect of Qualifying Atherosclerotic Cardiovascular Disease Diagnosis Proximity on Cardiovascular Risk and Benefit of Empagliflozin in the EMPA-REG OUTCOME Trial.,2024-01-01,Udell JA,"Boehringer Ingelheim Pharma GmbH & Co. KG, Ingelheim, Germany.",Not available
39026098,"Nutraceuticals and phytoceuticals in the treatment of schizophrenia: a systematic review and network meta-analysis ""Nutra NMA SCZ"".",2025-01-01,Correll CU,"Fondation FondaMental Fondation de Cooperation Scientifique en Sante Mentale, Universite Paris Est, Creteil, France.","Department of Neuroscience, Reproductive Sciences, and Dentistry, Section of Psychiatry, University School of Medicine Federico II, Naples, Italy. dott.fornaro@gmail.com."
39025756,Completeness of revascularization by FFR(CT) in stable angina: Association to adverse cardiovascular outcomes.,2024-01-01,Rogers C; Mullen S,"HeartFlow Inc., Mountain View, CA, USA.","Department of Cardiology, University Hospital of Southern Denmark, Esbjerg, Denmark. Electronic address: kristian.taekker.madsen2@rsyd.dk."
39025748,Meta-analysis of Individual Patient-level Data for a Multimodal Artificial Intelligence Biomarker in High-risk Prostate Cancer: Results from Six NRG/RTOG Phase 3 Randomized Trials.,2024-01-01,Liu VYT; Royce TJ,"Artera Inc., Los Altos, CA, USA.","University Hospitals Seidman Cancer Center, Case Western Reserve University, Cleveland, OH, USA. Electronic address: daniel.spratt@uhhospitals.org."
39025478,Pd-Catalyzed C(sp(2))-H/C(sp(2))-H Coupling of Limonene.,2024-08-02,Gallou F,"Novartis Pharma AG, CH-4057 Basel, Switzerland.",Not available
39025065,"Trofinetide for the treatment of Rett syndrome: Long-term safety and efficacy results of the 32-month, open-label LILAC-2 study.",2024-10-11,An D; Bishop KM,"Acadia Pharmaceuticals, Inc., San Diego, CA, USA.",Not available
39024860,Monitoring and integrated care coordination of patients with alpha-mannosidosis: A global Delphi consensus study.,2024-01-01,Garcia-Ortiz JE,"Division of Genetics, Centro de Investigacion Biomedica de Occidente (CIBO) del Instituto Mexicano de Seguro Social (IMSS), Guadalajara, Mexico.","Reference Centre for Inherited Metabolic Diseases (CERLYMM), Hospices Civils of Lyon (HCL), Lyon, France. Electronic address: nathalie.guffon-fouilhoux@chu-lyon.fr."
39024856,Network intervention analysis indicates that roluperidone achieves its effect on negative symptoms of schizophrenia by targeting avolition.,2024-01-01,Saoud JB; Davidson M; Kuchibhatla R; Luthringer R,"Department of Basic and Clinical Sciences, Psychiatry, University of Nicosia Medical School, 2414, Nicosia, Cyprus.; Minerva Neurosciences, Inc., Burlington, MA, USA; Minerva Neurosciences, Inc., Burlington, MA, USA.; Pharmaceutical Product Development Associates, LLC, Groton, MA, USA.",Not available
39023568,"Ritlecitinib, a JAK3/TEC family kinase inhibitor, stabilizes active lesions and repigments stable lesions in vitiligo.",2024-07-18,Sloan A,"Ronald N. Shore Dermatology, Rockville, MD, USA.",Not available
39023287,PACIFIC-9: Phase III trial of durvalumab + oleclumab or monalizumab in unresectable stage III non-small-cell lung cancer.,2024-01-01,Gopinathan A,"Grupo Brasileiro de Oncologia Toracica, Porto Alegre, Brazil.",Not available
39023227,Evaluation of romosozumab's effects on bone marrow adiposity in postmenopausal osteoporotic women: results from the FRAME bone biopsy sub-study.,2024-09-02,Libanati C,"UCB Pharma, Brussels, Belgium.",Not available
39022387,The impact of stigma on quality of life and liver disease burden among patients with nonalcoholic fatty liver disease.,2024-01-01,Stepanova M,"Departamento de Gastroenterologia, Facultad de Medicina, Pontificia Universidad Catolica de Chile, Santiago, Chile.",Not available
39022351,Newly Synthesized Indolylacetic Derivatives Reduce Tumor Necrosis Factor-Mediated Neuroinflammation and Prolong Survival in Amyotrophic Lateral Sclerosis Mice.,2024-07-12,Gargiulo M,"Miuli Pharma S.r.l., via Circumvallazione, Nola 310 80035, Italy.",Not available
39022226,Clinical validation of fully automated laminar knee cartilage transverse relaxation time (T2) analysis in anterior cruciate ligament (ACL)-injured knees- on behalf of the osteoarthritis (OA)-Bio consortium.,2024-07-01,Eckstein F; Berenbaum F; Duda GN,"Chondrometrics GmbH, Freilassing, Germany.",Not available
39020362,Long-term safety and effectiveness of lurasidone in adolescents and young adults with schizophrenia: pooled post hoc analyses of two 12-month extension studies.,2024-07-18,Calisti F; Mao Y; Goldman R,"Angelini Pharma S.P.A, Viale Amelia, 70, 00181, Rome, Italy.; Former Employee of Sumitomo Pharma America, Inc, 84 Waterford Drive, Marlborough, MA 01752, USA.; Sumitomo Pharma America, Inc, 84 Waterford Drive, Marlborough, MA, 01752, USA.",Not available
39020361,Involvement of the choroid plexus in Alzheimer's disease pathophysiology: findings from mouse and human proteomic studies.,2024-07-18,Popp J; Peyratout G,"Fundacion CITA-Alzheimer Fundazioa, San Sebastian, Spain.","Department of Psychiatry and Neuropsychology, Alzheimer Centrum Limburg, School for Mental Health and Neuroscience, Maastricht University, P.O. Box 616, Maastricht, 6200 MD, The Netherlands. a.delvenne@maastrichtuniversity.nl."
39020051,"Development of a first-in-class antibody and a specific assay for alpha-1,6-fucosylated prostate-specific antigen.",2024-07-17,Hillringhaus L; Hojer C; Muranyi A; Schraeml M; Tabares G,"Roche Diagnostics GmbH, Nonnenwald, Penzberg, Germany.; Roche Diagnostics Solutions, Tucson, AZ, USA.",Not available
39019993,Novel insight into nicotinamide adenine dinucleotide and related metabolites in cancer patients undergoing surgery.,2024-07-17,Hakamada K,"NOMON Co. Ltd., Kasumigaseki, Chiyoda-Ku, Tokyo, Japan.",Not available
39019698,Niraparib Population Pharmacokinetics and Exposure-Response Relationships in Patients With Newly Diagnosed Advanced Ovarian Cancer.,2024-01-01,Baurain JF; Fabbro M; Braicu EI; Prendergast E; Taylor A; Kheibarshekan L; Zhang ZY; Jewell RC; Gupta D,"Certara Inc., Princeton, NJ, USA.; Charite-Universitatsmedizin and Arbeitsgemeinschaft Gynakologische Onkologie (AGO), Berlin, Germany.; Cliniques Universitaires Saint-Luc, Universite Catholique de Louvain, Brussels, Belgium.; GSK, Cambridge, MA, USA.; GSK, Durham, NC, USA.; Institut du Cancer de Montpellier, Montpellier, France, and Groupe d'Investigateurs Nationaux pour les Etudes des Cancers de l'Ovaire (GINECO).; Minnesota Oncology, Minneapolis, MN, USA.","present affiliation, The GOG Foundation, Inc., and Florida Cancer Specialists and Research Institute, West Palm Beach, FL, USA. Electronic address: bmonk@gog.org."
39019527,"Effects of Rapid Uptitration of Neurohormonal Blockade on Effective, Sustainable Decongestion and Outcomes in STRONG-HF.",2024-07-23,Mebazaa A; Davison B; Cotter G; Cohen-Solal A; Deniau B; Gayat E,"Department of Anesthesiology and Critical Care and Burn Unit, Saint-Louis and Lariboisiere Hospitals, FHU PROMICE, DMU Parabol, APHP Nord, Paris, France.; Department of Cardiology, APHP Nord, Lariboisiere University Hospital, Paris, France.; Heart Initiative, Durham, North Carolina, USA.; Momentum Research Inc, Durham, North Carolina, USA; Universite Paris Cite, INSERM UMR-S 942(MASCOT), Paris, France","Institute of Heart Diseases, Wroclaw Medical University, Wroclaw, Poland. Electronic address: janbiegus@gmail.com."
39019200,Assessment of corrected JT-peak (JTpc) and Tpeak-to-Tend (TpTec) as proarrhythmia biomarkers in non-human primates: Outcome from a HESI consortium.,2024-01-01,Boulay E; Authier S; Bartko T; Leishman D; Li D; Nichols JV; Rossman EI; Valentin JP; Walisser J; Troncy E; Wisialowski TA,"Charles River Laboratories, Laval, Quebec, Canada; Eli Lilly and Company, Indianapolis, IN, USA.; GREPAQ (Groupe de recherche en pharmacologie animale du Quebec), Universite de Montreal, St-Hyacinthe, Quebec, Canada.; GSK, King of Prussia, PA, USA.; Labcorp Early Development Laboratories Inc, Madison, WI, USA.; Pfizer, Inc, Groton, CT, USA.; UCB Biopharma SPRL, Brussels, Belgium.",Not available
39018512,Efficacy of Ofatumumab and Teriflunomide in Patients With Relapsing MS From Racial/Ethnic Minority Groups: ASCLEPIOS I/II Subgroup Analyses.,2024-08-13,Williams MJ; Amezcua L; Cohan SL; Cohen JA; Delgado SR; Hua LH; Lucassen EB; Piccolo RS; Koulouris CR; Stankiewicz J,"Cleveland Clinic Lou Ruvo Center for Brain Health (L.H.H.), Las Vegas, NV; Cleveland Clinic Mellen Center (J.A.C.) OH; Department of Neurology (S.R.D.), University of Miami Miller School of Medicine, FL; From the Joi Life Wellness MS Center (M.J.W.), Atlanta, GA; Novartis Pharmaceuticals Corporation (E.B.L., R.S.P., J.S.), East Hanover, NJ; Providence Multiple Sclerosis Center (S.L.C.), Providence Brain and Spine Institute, Portland, OR; University of Southern California (L.A.), Los Angeles; and Envision Pharma, Inc. (C.R.K.), Horsham, United Kingdom.",Not available
39018073,Three-Year Outcomes of 6-Month Paliperidone Palmitate in Adults With Schizophrenia: An Open-Label Extension Study of a Randomized Clinical Trial.,2024-07-01,Sun L; Sajatovic M,"Janssen Scientific Affairs, LLC, a Johnson & Johnson Company, Titusville, New Jersey.",Not available
39018038,Cendakimab in Patients With Moderate to Severe Atopic Dermatitis: A Randomized Clinical Trial.,2024-08-01,Machkova M; Zhang P; Linaberry M; Li J; Zhang S; Franchin G; Charles ED; De Oliveira CHMC,"Bristol Myers Squibb, Princeton, New Jersey.; CCR Czech Prague, Prague, Czech Republic.",Not available
39018020,The lifetime risk and impact of vitiligo across sociodemographic groups: a UK population-based cohort study.,2024-12-23,Nagra R,"Pfizer Ltd, Tadworth, UK.",Not available
39017907,Incidence of Malignancies and the Association with Biological Disease-Modifying Antirheumatic Drugs in Japanese Patients with Rheumatoid Arthritis: A Time-Dependent Analysis from the IORRA Patient Registry.,2024-01-01,Sugiyama N; Yamanaka H,"Biometrics and Data Management, Pfizer R&D Japan, Tokyo, Japan.; Inflammation & Immunology, Pfizer Japan Inc, Tokyo, Japan.","Department of Rheumatology, Sanno Hospital, 8-10-16 Akasaka, Minato-ku, Tokyo, 107-0052, Japan. mharigai@iuhw.ac.jp."
39016335,Viral and non-viral episodes of wheezing in early life and the development of asthma and respiratory phenotypes among urban children.,2024-01-01,Calatroni A; Jackson DJ; Bacharier LB,"GSK, Philadelphia, Pennsylvania, USA.; Thermo Fisher Scientific, Wilmington, North Carolina, USA.",Not available
39016187,How debunking biases in research and development decisions could lead to more equitable healthcare?,2024-01-01,Weber B; Visser SAG,"Lansdale, Pennsylvania, USA.; NovoNordisk, Copenhagen, Denmark.",Not available
39016172,Public health management of pertussis in adults: Practical challenges and future strategies.,2024-12-31,Sampson K; Sobczyk E,"AMDA - The Society for Post-Acute and Long-Term Care Medicine, Columbia, SC, USA.; Immunisation Coalition, Melbourne, Australia.",Not available
39015768,Cognitive function in severe progressive multiple sclerosis.,2024-01-01,Wicks TR; Benedict RHB,"The Boston Home, Dorchester, MA 02124, USA.",Not available
39015407,Suppression of toxic transgene expression by optimized artificial miRNAs increases AAV vector yields in HEK-293 cells.,2024-09-12,Blahetek G; Mayer C; Strobel B,"Drug Discovery Sciences, Boehringer Ingelheim Pharma GmbH & Co. KG, 88397 Biberach an der Riss, Germany.",Not available
39014996,Quality of life from childhood to adulthood: Perspectives from adult patients with pediatric-onset intestinal failure.,2024-01-01,Ladner A,"The Gutsy Perspective, Huntsville, Alabama, USA.",Not available
39014498,The UPDATE trial (UVB Phototherapy in Dermatology for ATopic Eczema): study protocol for a randomized controlled trial of narrowband UVB with optimal topical therapy versus optimal topical therapy in patients with atopic eczema.,2024-07-16,van Enst A,"Nederlandse Vereniging Voor Dermatologie en Venereologie, NVDV, Utrecht, the Netherlands.","Department of Dermatology, Amsterdam UMC, Location Academic Medical Center, Amsterdam Public Health, Infection and Immunity, University of Amsterdam, Amsterdam, The Netherlands. e.knops@amsterdamumc.nl."
39014486,High level of genomic divergence in orf-I p12 and hbz genes of HTLV-1 subtype-C in Central Australia.,2024-07-17,Jansz N,"UCB Pharma, Smyrna, GA, USA.",Not available
39014480,Emerging frontiers in androgen receptor research for prostate Cancer: insights from the 2nd international androgen receptor Symposium.,2024-07-17,Miederer M,"Institut fur Radiopharmazie, Helmholtz-Zentrum Dresden-Rossendorf, Bautzner Landstrasse 400, D-01328, Dresden, Germany.",Not available
39014446,BMI variability and cardiovascular outcomes within clinical trial and real-world environments in type 2 diabetes: an IMI2 SOPHIA study.,2024-07-16,Pearson ER; Dawed AY,"IRCCS MultiMedica, Via Milanese 300, 20099, Sesto San Giovanni, MI, Italy.; Lilly Deutschland GmbH, Bad Homburg, Germany.",Not available
39014160,Antibiotics are associated with worse outcomes in lung cancer patients treated with chemotherapy and immunotherapy.,2024-07-16,Rudin CM,"Informatics Systems, Memorial Sloan Kettering Cancer, New York, NY, USA.","Department of Pathology, Memorial Sloan Kettering Cancer Center, New York, NY, USA. arielle.elkrief@umontreal.ca."
39013870,Neoadjuvant and adjuvant pembrolizumab in advanced high-grade serous carcinoma: the randomized phase II NeoPembrOV clinical trial.,2024-07-16,Savoye AM; Derbel O; Martinez A; Martinez M; Collard O,"GINECO and Clinique Pasteur, Toulouse, France.; GINECO and Institut Claudius Regaud, Institut Universitaire du Cancer de Toulouse (IUCT) Oncopole, Toulouse, France.; GINECO and Institut Jean Godinot, Reims, France.; GINECO and Institut de Cancerologie de la Loire, Saint-Priest-en-Jarez, France.; GINECO and Institut de Cancerologie, Hopital Prive Jean Mermoz, Lyon, France.","Groupe d'Investigateurs Nationaux pour l'Etude des Cancers Ovariens (GINECO) and Centre Leon Berard, University Claude Bernard, Lyon, France. isabelle.ray-coquard@lyon.unicancer.fr."
39013654,"Study protocol for a prospective, multicentre study of hypercortisolism in patients with difficult-to-control type 2 diabetes (CATALYST): prevalence and treatment with mifepristone.",2024-07-16,Tudor IC; Moraitis AG,"Corcept Therapeutics Incorporated, Menlo Park, California, USA.",Not available
39013265,Tolerability of the niraparib individualized starting dose in the PRIMA/ENGOT-OV26/GOG-3012 trial of niraparib first-line maintenance therapy.,2024-01-01,Braicu EI; York W; Malinowska IA,"Charite Universitatsmedizin and Arbeitsgemeinschaft Gynakologische Onkologie (AGO), Berlin, Germany.; GSK, Philadelphia, PA, USA.; GSK, Waltham, MA, USA.","Integrated Cancer Center, AZ Maria Middelares, Ghent, and Center for Oncological Research (CORE), Antwerp University, Antwerp, Belgium. Electronic address: christof.vulsteke@mijnziekenhuis.be."
39013243,Emotional intelligence and neurocognition profiles in first-episode psychosis: A two-year follow-up study.,2024-01-01,Clougher D; Forte MF; Mezquida G; Sanchez-Torres AM; Serra-Navarro M; Penades R; Martinez-Aran A; Ramos-Quiroga JA; Bernardo M; Amoretti S,"BIOARABA, Department Psychiatry. Hospital Universitario de Alava. CIBERSAM. University of the Basque Country, Vitoria, Spain.; Barcelona Clinic Schizophrenia Unit, Hospital Clinic de Barcelona; Bipolar and Depressive Disorders Unit, Hospital Clinic de Barcelona; CIBERSAM, ISCIII, Barcelona, Spain; CIBERSAM, ISCIII, Barcelona, Spain.; Departament de Medicina, Institut de Neurociencies (UBNeuro), Universitat de Barcelona (UB); Departamento de Ciencias de la Salud, Universidad Publica de Navarra (UPNA), Campus de Arrosadia, 31006, Pamplona, Espana.; Department of Psychiatry, Hospital Universitario de Navarra, Pamplona, Spain; Fundacio Clinic-Institut d'Investigacions Biomediques August Pi I Sunyer (IDIBAPS); Group of Psychiatry, Mental Health and Addictions, Valld'Hebron Research Institute (VHIR); Institut d'Investigacions Biomediques August Pi I Sunyer (IDIBAPS); Navarra Institute of Health Research (IdiSNA), Pamplona, Spain Department of Health Sciences, Universidad Publica de Navarra, Pamplona, Spain; Psychiatric Genetics Unit, Valld'Hebron Research Institute (VHIR); Serra-Hunter Fellow, Department of Basic Clinal Practice, Pharmacology Unit, University of Barcelona.",Not available
39012413,Internal Psychometric Validation of an International Burden of Illness Survey for Idiopathic Multicentric Castleman Disease.,2024-01-01,Shupo F; Wayi-Wayi G; Zibelnik N,"EUSA Pharma (UK), Hemel Hempstead, UK.",Not available
39012406,Safety and Effectiveness of Satralizumab in Japanese Patients with Neuromyelitis Optica Spectrum Disorder: A 6-month Interim Analysis of Post-marketing Surveillance.,2024-01-01,Tsumuraya T; Yamashita K,"Drug Safety Division, Chugai Pharmaceutical Co., Ltd., 1-1 Nihonbashi-Muromachi 2-Chome, Nihonbashi Mitsui Tower (Reception15F), Chuo-ku, Tokyo, 103-8324, Japan.","Department of Immunology, National Institute of Neuroscience, National Center of Neurology and Psychiatry, 4 Chome-1-1 Ogawahigashicho, Kodaira, Tokyo, 187-8551, Japan. yamamura@ncnp.go.jp."
39012325,A Modern Curriculum for Training Scientists in Model-Informed Drug Development: Progress Report on FDA Grant to Train Regulatory Scientists.,2024-01-01,Rayner C; Tannenbaum S; Kern S,"Astellas Pharma, Northbrook, Illinois, USA.; CP+ Associates GmbH, Basel, Switzerland.; Certara, Princeton, New Jersey, USA.",Not available
39011068,iPREDICT: Characterization of Asthma Triggers and Selection of Digital Technology to Predict Changes in Disease Control.,2024-01-01,Zavod M; Hagger L,"Content Strategy & Experience Design, Digital Global Commercial, AstraZeneca, Gaithersburg, MD, USA.; User Experience, AstraZeneca, Wilmington, DE, USA.",Not available
